zip,rep_code,rep_full,rep_label
39078,BNA,Barry,BNA (Barry)
39079,BNA,Barry,BNA (Barry)
39080,BNA,Barry,BNA (Barry)
39081,BNA,Barry,BNA (Barry)
39082,BNA,Barry,BNA (Barry)
39083,BNA,Barry,BNA (Barry)
39084,BNA,Barry,BNA (Barry)
39085,BNA,Barry,BNA (Barry)
39086,BNA,Barry,BNA (Barry)
39087,BNA,Barry,BNA (Barry)
39088,BNA,Barry,BNA (Barry)
39089,BNA,Barry,BNA (Barry)
39090,DA,Dylan,DA (Dylan)
39091,DA,Dylan,DA (Dylan)
39092,BNA,Barry,BNA (Barry)
39093,BNA,Barry,BNA (Barry)
39094,BNA,Barry,BNA (Barry)
39095,DA,Dylan,DA (Dylan)
39096,BNA,Barry,BNA (Barry)
39097,BNA,Barry,BNA (Barry)
39098,BNA,Barry,BNA (Barry)
39099,BNA,Barry,BNA (Barry)
39100,BNA,Barry,BNA (Barry)
39101,BNA,Barry,BNA (Barry)
39102,BNA,Barry,BNA (Barry)
39103,BNA,Barry,BNA (Barry)
39104,BNA,Barry,BNA (Barry)
39105,BNA,Barry,BNA (Barry)
39106,BNA,Barry,BNA (Barry)
39107,BNA,Barry,BNA (Barry)
39108,DA,Dylan,DA (Dylan)
39109,BNA,Barry,BNA (Barry)
39110,BNA,Barry,BNA (Barry)
39111,BNA,Barry,BNA (Barry)
39112,BNA,Barry,BNA (Barry)
39113,BNA,Barry,BNA (Barry)
39114,BNA,Barry,BNA (Barry)
39115,BNA,Barry,BNA (Barry)
39116,BNA,Barry,BNA (Barry)
39117,BNA,Barry,BNA (Barry)
39118,BNA,Barry,BNA (Barry)
39119,BNA,Barry,BNA (Barry)
39120,BNA,Barry,BNA (Barry)
39121,BNA,Barry,BNA (Barry)
39122,BNA,Barry,BNA (Barry)
39123,BNA,Barry,BNA (Barry)
39124,BNA,Barry,BNA (Barry)
39125,BNA,Barry,BNA (Barry)
39126,BNA,Barry,BNA (Barry)
39127,BNA,Barry,BNA (Barry)
39128,BNA,Barry,BNA (Barry)
39129,BNA,Barry,BNA (Barry)
39130,BNA,Barry,BNA (Barry)
39131,BNA,Barry,BNA (Barry)
39132,BNA,Barry,BNA (Barry)
39133,BNA,Barry,BNA (Barry)
39134,BNA,Barry,BNA (Barry)
